path,size_bytes,sha256
data/drylab/dssp/all_designs/dssp_chunk_00037.parquet,74312,6d1ca809fa7be4b56b817ab0fedec4c63fd8959aec5cfd7342206c8b5cc0a18c
data/drylab/dssp/all_designs/dssp_chunk_00038.parquet,73880,cf3dfef2b51cb9e37f4f227d4d325d3e2ec668eaf543f8818cc75b0e66b8f054
data/drylab/dssp/all_designs/dssp_chunk_00039.parquet,73720,ea93494e43b6ad329418e1043f649d06f3232877cdd7635cdcdbcc4a7c9f1bcf
data/drylab/dssp/all_designs/dssp_chunk_00040.parquet,74654,9e700c2529a7fae157f4c6dea107f89bf4fe2a284f899da320599f18a2567f1f
data/drylab/dssp/all_designs/dssp_chunk_00041.parquet,75391,bdd793a649dfd164913cb9250b1469e7c8703f3927f5e34fb01c74caff3ee0a7
data/drylab/dssp/all_designs/dssp_chunk_00042.parquet,76356,ddda58414b641a52aeae781ae69e77f15161df1e4993d6aff164ba8d5d5f0ba6
data/drylab/dssp/all_designs/dssp_chunk_00043.parquet,65561,03b78ac3ca5c4cbcef09543afe212cc5cc8dea051fe65cc35cc62b75ad112a33
data/drylab/dssp/all_designs/dssp_chunk_00044.parquet,58725,8a6544a810f6bacd2bb64e36e1225769dab0262f20b8ef0fabd951c1e285ef84
data/drylab/dssp/all_designs/dssp_chunk_00045.parquet,59416,c97a06e26bd9d164ca60e5c4589e37cdc69c87f93164a46b4fc2d107e5f983d3
data/drylab/dssp/all_designs/dssp_chunk_00046.parquet,58534,f2321b234fa8028b25c4b3be19ccedfcba6dc922bf9d40b2f81765905d8032ce
data/drylab/dssp/all_designs/dssp_chunk_00047.parquet,57944,9cbf3b7cfaa8b44505c98981b7cf40495d212749754854e970160caf1b8a1165
data/drylab/dssp/all_designs/dssp_chunk_00048.parquet,58423,34c5cb5bbff9fc9cec012afc7f1158c551490da8cceb8a096ea2f6ce04794609
data/drylab/dssp/all_designs/dssp_chunk_00049.parquet,58163,90fcba7345438fa124c23618fc61ef3f43cff8b74d5c1e61b9f7fa024fb15a6b
data/drylab/dssp/all_designs/dssp_chunk_00050.parquet,59011,318af26c28827aef4792974bd5128a313820ea9a2887a0e63dc5d427aa424c19
data/drylab/dssp/all_designs/dssp_chunk_00051.parquet,58530,06e9f0c66f6d6476423ddfb0a17a2580dceb79d059c0bc56945ecf791481e1f3
data/drylab/dssp/all_designs/dssp_chunk_00052.parquet,59147,8d2ba1bdc385c2e8003a9fdd16d25ad1f50e32ea695c62b4e499d5962156c93f
data/drylab/dssp/all_designs/dssp_chunk_00053.parquet,57257,45eedd5b492a66dbe3b69356ad3bb697790492856d7b101487f5512f7d8a1d62
data/drylab/dssp/all_designs/dssp_chunk_00054.parquet,59390,ba1f889dd3f89de5c92acf11342b9f6f92905cafe6ebdc08e20b2cc6c81b465d
data/drylab/dssp/all_designs/dssp_chunk_00055.parquet,57552,d3dcef4a23db49b28ca2b84d0c35a93b1913bd32aab4f9d2461018ec32dc21b8
data/drylab/dssp/all_designs/dssp_chunk_00056.parquet,57797,458b8449bc178356100194f03c250e98ff58725348fdcddd81b24a9eba9b9d72
data/drylab/dssp/all_designs/dssp_chunk_00057.parquet,57699,6a86d55ab8b883fee6a9eb569968012e0f9f0a3df8346016a00c9b33e220e2e0
data/drylab/dssp/all_designs/dssp_chunk_00058.parquet,58819,7e9ee43533bf16f18be37bc74a46a05837287a68d2bd14044b5850db54ff5632
data/drylab/dssp/all_designs/dssp_chunk_00059.parquet,57737,b3d397aceecc905ae6ed7907707da8664addc3c9cdcdaa6f3a4460a1d8510a40
data/drylab/dssp/all_designs/dssp_chunk_00060.parquet,58624,bd5c30388a7bf5b2622eabe1bffc986cd134d68cedd2280851dd6b56e848b9e4
data/drylab/dssp/all_designs/dssp_chunk_00061.parquet,58662,996d38cf0949194ecdb98a870ecf59c074782ec163b6b638aaf08006f263a8eb
data/drylab/dssp/all_designs/dssp_chunk_00062.parquet,58642,8d90e4113da6fb3a0906b160c254286d8cf006bcd491697d3ceaa16ef3caefcc
data/drylab/dssp/all_designs/dssp_chunk_00063.parquet,57754,4455c2e0f2e7cc38f16f6952dcd65cfec0e5cc3c9f1093ea0cf902e9549b56bb
data/drylab/dssp/all_designs/dssp_chunk_00064.parquet,58739,2aaac86f0ae4ddbfc2cd921b35622c6e4b48f20f54e214bfdaacc5c33cbbddf4
data/drylab/dssp/all_designs/dssp_chunk_00065.parquet,57799,e97e8d2efd7236185abbec54fc4d4ccfce136049383cac7af2300149a7b1220b
data/drylab/dssp/all_designs/dssp_chunk_00066.parquet,58183,b135e5f3b28d037a52c7e37d8800c6d4f2e10324e9977d90df4381286349e4f1
data/drylab/dssp/all_designs/dssp_chunk_00067.parquet,58118,41558416556e74ad8f9ebaf668007416bf2a94537ae6490ca5e0a03fe222f5e2
data/drylab/dssp/all_designs/dssp_chunk_00068.parquet,59281,2089a7c5f960bc7dd7f8ab4f0636bd1d08ad66db028511e0116e505908df1d84
data/drylab/dssp/all_designs/dssp_chunk_00069.parquet,58619,7c81ff1a415fe4fb8946dcd2135111ca5d32ab177e07205460598f41d22db281
data/drylab/dssp/all_designs/dssp_chunk_00070.parquet,58115,5f18ffbf26aa7ae5ad15973dc4b660d0d2904b0f0a4305fa0fb68bdad2e3b3a6
data/drylab/dssp/all_designs/dssp_chunk_00071.parquet,57851,24efd42c0048dbbee4ecbf701f123b7cabf8ae1c04083c856183f2ae8f9e7082
data/drylab/dssp/all_designs/dssp_chunk_00072.parquet,57873,c1a8342f991a76c9376cd4f579152ffeae5a41f296c08b4a288f92f5ef752bd4
data/drylab/dssp/all_designs/dssp_chunk_00073.parquet,56731,46bbca55e24d883872c7162140155c66c89bf191f55e2bd55a04d1aa511a4f91
data/drylab/dssp/all_designs/dssp_chunk_00074.parquet,57154,f62f23f23ba3569e7c93a3a33c36a6b61dcb1da5c2281581aba128653ff29c1b
data/drylab/dssp/all_designs/dssp_chunk_00075.parquet,58535,f91dc61f13f7a70fef853af3266afd6458230c14eca2e2081b167ea8cb5e86eb
data/drylab/dssp/all_designs/dssp_chunk_00076.parquet,57088,3b56742a5ea2617bf6f69f366ac3cbb5338e289025651bba10d563515d0c2f3f
data/drylab/dssp/all_designs/dssp_chunk_00077.parquet,57685,ffb442803c163b5549a0af5dcba7a20dd002ab96d8433ec82f2c366a97e336c0
data/drylab/dssp/all_designs/dssp_chunk_00078.parquet,58992,b066753de16e82108d0f85c4ea2980d0854470a0b9ec9eb30956a0f416302623
data/drylab/dssp/all_designs/dssp_chunk_00079.parquet,59084,dd104a06689bb70194c36e40284076347d25bcf7dfe91263257530699a954ecd
data/drylab/dssp/all_designs/dssp_chunk_00080.parquet,57527,fa61bbde14b8c0ffd3cac91ec39f520c350619c170962e2f2aca7a47df3a38af
data/drylab/dssp/all_designs/dssp_chunk_00081.parquet,57327,05ed7deae3139d956c981f9993e735e80f66563e50a9236ab4a58300f5043766
data/drylab/dssp/all_designs/dssp_chunk_00082.parquet,57910,4a980ab22daec4c7c84694dde1346dd617be505bb01fc43cbe00b271c2aa1473
data/drylab/dssp/all_designs/dssp_chunk_00083.parquet,59235,8ef11fbbe6e6f233d613bcd76fb25465de9fea64e3a0347079e16991f2fa7415
data/drylab/dssp/all_designs/dssp_chunk_00084.parquet,58865,04fb1a37e7802a2e1064254a47c74eca9b636faf7578a0a97b038bf9ee83d478
data/drylab/dssp/all_designs/dssp_chunk_00085.parquet,58991,18ef745dc82ef3d384b491b54d09752dae83ca2bfef7b6e73d5f5137ad99b8a5
data/drylab/dssp/all_designs/dssp_chunk_00086.parquet,59123,15f82d7f72af50551b050dda820267db7d2d4c661c25d456d9d2307a16d64f87
data/drylab/dssp/all_designs/dssp_chunk_00087.parquet,56021,38fd2b5568393fcebeae7eb182506b4dfae79a4819745522bf2c44729a76c021
data/drylab/dssp/all_designs/dssp_chunk_00088.parquet,58261,b6e793bb6fcb09b85215b1405f62a5da60b4715b82b5d1d3e50a78da3e92e7e8
data/drylab/dssp/all_designs/dssp_chunk_00089.parquet,58258,443542c7044625788cdfafdc61f096e82eff6b3a491b91fb2e4c937efb24b8f4
data/drylab/dssp/all_designs/dssp_chunk_00090.parquet,58251,956a258de418a38997211f24a2ceb6955f97f94ebddabc36f844ffffe9cdd75f
data/drylab/dssp/all_designs/dssp_chunk_00091.parquet,59295,2cc57d46db68ff212e20b344b574afe3a4b27456d2676991520ba7747b8c336b
data/drylab/dssp/all_designs/dssp_chunk_00092.parquet,59759,087252b32d695b164782c6781cb17371cf836b6ebd1df8ebb3df91bafde1298f
data/drylab/dssp/all_designs/dssp_chunk_00093.parquet,57434,fe300c31eef66f4e4288a8ed11ed567d78d8ac489f52293c1b7975a2e92e304a
data/drylab/dssp/all_designs/dssp_chunk_00094.parquet,57403,c92e54816e622dda257f06af1dcb5c13f20b8da4ccacb33555eb1e97b1b04fb4
data/drylab/dssp/all_designs/dssp_chunk_00095.parquet,58895,e45542d825e8d01f9674303814f974673cbb6a601cfe942cea22154077fe7fd0
data/drylab/dssp/all_designs/dssp_chunk_00096.parquet,58215,509e487d07f66168ef03e03a1e855455ade1107c20b33f941ca9215c4cc759df
data/drylab/dssp/all_designs/dssp_chunk_00097.parquet,58978,cf68f9e7d3b865dd110d544bbae5fa8b455c706fe00a013eb8f0863a21834ce4
data/drylab/dssp/all_designs/dssp_chunk_00098.parquet,59051,47658eba6d300eb8a4951b4611ae5f26cce9b33e49f4bd4a735ec3069fa2af65
